,E4,Tizen,WearOS_watchOS,Fitbit
S2,0.8571428656578064,0.800000011920929,0.9428571462631226,0.9714285731315613
S3,0.6857143044471741,0.8571428656578064,0.5428571701049805,0.7428571581840515
S4,1.0,0.8333333134651184,0.7777777910232544,1.0
S5,0.9444444179534912,0.9722222089767456,0.9722222089767456,0.8888888955116272
S6,0.9722222089767456,0.7777777910232544,0.6388888955116272,0.7777777910232544
S7,0.9722222089767456,0.4444444477558136,0.9444444179534912,1.0
S8,0.9722222089767456,0.8611111044883728,0.9722222089767456,0.9166666865348816
S9,0.9444444179534912,0.8333333134651184,0.8055555820465088,1.0
S10,0.9729729890823364,0.7567567825317383,0.9189189076423645,1.0
S11,0.7027027010917664,0.837837815284729,0.6216216087341309,0.7297297120094299
S13,1.0,0.8918918967247009,0.9459459185600281,0.9729729890823364
S14,0.21621622145175934,0.3513513505458832,0.4864864945411682,0.29729729890823364
S15,0.8918918967247009,0.7297297120094299,0.8108108043670654,0.9729729890823364
S16,1.0,0.4054054021835327,0.6756756901741028,1.0
S17,0.8648648858070374,0.9459459185600281,0.9189189076423645,0.837837815284729
